Obj. Num.,AMR,AMR_sig,H,H_sig,a,b,p=b/a,D_equiv
1,0.049127,0.00017515,42.84,0.13,1.0236,0.53746,0.52509,1.6516
2,0.037634,0.00023416,41.58,0.14,2.0148,0.58111,0.28842,2.6624
3,0.064049,0.00030605,42.9,0.25,1.0805,0.3513,0.32514,1.4859
4,0.090055,0.0004819,43.46,0.45,0.842,0.24285,0.28842,1.1126
5,0.1636,0.03294,43.99,0.49,0.69185,0.12356,0.17859,0.77922
6,0.01826,0.0058841,39.67,0.39,4.9175,1.15,0.23386,6.0593
7,0.093656,0.00081507,43.09,0.45,1.034,0.22103,0.21376,1.2365
8,0.088597,0.013773,43.53,0.45,0.8172,0.25025,0.30623,1.1016
15,0.19839,0.0030705,44.85,0.21,0.45261,0.10585,0.23386,0.55771
16,0.12646,0.0067518,44.57,0.14,0.49112,0.18548,0.37767,0.71
18,0.26107,0.03523,45.65,0.43,0.31186,0.082215,0.26363,0.39993
19,0.15843,0.0097638,44.23,0.47,0.61127,0.13066,0.21376,0.73098
22,0.16433,0.026957,44.33,0.45,0.57457,0.12655,0.22026,0.69398
25,0.12527,0.060508,44.66,0.42,0.4571,0.19461,0.42575,0.68774
30,0.25807,0.034802,44.48,0.45,0.55952,0.076311,0.13638,0.57602
34,0.14059,0.053229,44.54,0.48,0.50341,0.15885,0.31554,0.68544
35,0.12039,0.027315,43.81,0.44,0.72761,0.17533,0.24097,0.90556
39,0.071648,0.019558,42.65,0.43,1.2533,0.29308,0.23386,1.5443
40,0.068697,0.0042566,43.34,0.5,0.85021,0.3513,0.41319,1.2665
41,0.034991,0.00074373,42.68,0.2,1.0717,1.0717,1,2.1434
42,0.101,0.027998,43.57,0.47,0.80611,0.21251,0.26363,1.0338
43,0.08427,0.011294,43.46,0.42,0.83985,0.26501,0.31554,1.1435
44,0.10433,0.040987,43.57,0.4,0.81921,0.20341,0.2483,1.0298
45,0.29986,0.0022202,45.33,0.44,0.36763,0.067651,0.18402,0.41821
48,0.096582,0.017849,44.28,0.44,0.52986,0.27001,0.50959,0.84645
50,0.094872,0.0059235,43.26,0.49,0.94648,0.22134,0.23386,1.1662
51,0.13963,0.0041875,44.84,0.46,0.42683,0.17115,0.40099,0.6295
54,0.23555,0.0018634,45.5,0.47,0.32956,0.092247,0.27991,0.43116
56,0.41648,0.0085999,44.98,0.56,0.44617,0.04647,0.10415,0.41984
